,1,2,3,4,5,6,7,8,9,10,11,12
0,5.0,5.0,4.5,4.5,5.0,3.0,4.5,4.5,2.2,2.4,4.6,2.0
1,5.0,5.0,5.0,4.5,3.0,3.0,4.25,4.5,2.2,2.8,5.0,2.0
2,4.5,4.5,4.0,4.0,4.0,3.0,4.0,4.0,1.45,0.7,2.15,2.0
3,5.0,4.0,4.0,4.0,4.5,3.0,4.08,4.0,4.0,0.6,4.6,2.0
4,5.0,4.5,4.0,4.5,5.0,4.0,4.5,4.5,2.8,2.4,5.2,2.0
5,5.0,5.0,4.0,5.0,4.0,3.0,4.33,4.5,5.8,2.3,8.1,2.0
6,5.0,4.0,5.0,4.5,3.0,3.0,4.08,4.0,4.2,0.5,4.7,2.0
7,5.0,4.5,4.0,4.5,5.0,3.0,4.33,4.5,3.35,3.7,7.05,2.0
8,5.0,4.5,4.5,4.0,4.0,4.0,4.33,4.5,3.3,3.9,7.2,2.0
9,4.0,4.0,4.0,4.0,3.5,3.0,3.75,4.0,4.0,1.5,5.5,2.0
10,5.0,4.5,5.0,4.0,4.0,3.0,4.25,4.5,3.1,4.0,7.1,2.0
11,5.0,5.0,5.0,4.5,4.0,3.0,4.42,4.5,5.2,5.9,11.1,3.5
12,5.0,4.5,5.0,4.0,4.0,5.0,4.58,4.5,2.2,3.6,5.8,2.0
13,5.0,4.5,4.5,4.0,4.0,5.0,4.5,4.5,3.1,4.6,7.7,2.0
14,5.0,4.5,4.0,4.0,4.5,3.0,4.17,4.0,1.3,3.4,4.7,2.0
15,5.0,4.0,4.5,4.5,5.0,4.0,4.5,4.5,2.4,2.7,5.1,2.0
16,5.0,5.0,4.5,4.5,4.5,3.0,4.42,4.5,3.2,2.7,5.9,2.0
17,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.1,6.8,11.9,3.5
18,5.0,5.0,5.0,5.0,4.5,3.0,4.75,5.0,4.2,7.8,12.0,4.0
19,5.0,4.5,5.0,4.5,5.0,3.0,4.5,4.5,3.6,4.6,8.2,2.0
20,5.0,5.0,4.0,5.0,4.0,3.0,4.33,4.5,2.7,4.5,7.2,2.0
21,4.0,4.0,3.0,4.0,4.0,3.0,3.67,3.5,3.2,2.2,5.4,2.0
22,5.0,4.5,5.0,4.5,4.0,3.0,4.33,4.5,4.0,3.2,7.2,2.0
23,5.0,4.5,4.5,5.0,5.0,3.0,4.5,4.5,3.3,3.5,6.8,2.0
24,5.0,4.5,4.5,4.5,5.0,3.0,4.42,4.5,4.1,6.2,10.3,3.5
25,5.0,5.0,4.5,4.0,5.0,3.0,4.42,4.5,2.7,0.0,2.7,2.0
26,5.0,4.0,4.5,4.5,5.0,4.0,4.5,4.5,2.3,5.6,7.9,2.0
27,5.0,5.0,5.0,4.5,4.0,3.0,4.42,4.5,2.7,3.2,5.9,2.0
28,5.0,5.0,4.5,4.0,5.0,3.0,4.42,4.5,3.6,4.0,7.6,2.0
